% NTS
%Depth	Dip_Direction from north	Dip_Angle	Criticality
3026.6   89.699997   70.300003   0
3028.9   298.5       54.3        1
3030.6   62.200001   38.099998   0
3031.5   217.300003  38.099998   0
3032.5   112.599998  46.200001   0
3034.0   10.5        27.6        0
3038.1   40.599998   41          0
3040.1   250.699997  52.599998   0
3043.1   224.5       27.6        0
3047.7   204.899994  14.6        0
3050.6   339.700012  31.4        0
3052.7   50.400002   60.099998   0
3055.1   124.4       58.8        1
3058.4   98.800003   27.6        0
3059.4   24.9        50.599998   0
3060.3   352.1       57.5        1
3061.5   240.199997  34.900002   0
3062.2   204.899994  56.200001   0
3076.3   221.899994  31.4        0
3080.8   231.100006  55.700001   0
3084.6   166.9       55.7        1
3085.1   203.600006  55.700001   0
3086.9   244.800003  49.599998   0
3087.8   282.100006  47.099998   0
3089.1   312.9       60.4        1
3089.9   318.1       65.1        1
3092.6   223.199997  66.099998   0
3094.8   256.899994  47.599998   0
3097.6   252.300003  37.200001   0
3098.4   241.100006  56.599998   0
3099.0   242.399994  34          0
3100.7   242.399994  30.5        0
3101.2   134.7       67.8        1
3101.3   119.6       74.2        1
3102.4   99.900002   42.799999   0
3103.7   264.100006  65.5        0
3104.1   147.2       71.3        1
3105.8   245         40.099998   0
3106.7   215.5       56.599998   0
3109.6   271.299988  38          0
3111.5   234.100006  73.099998   0
3112.6   268         69.6        0
3113.7   217.199997  71.300003   0
3115.7   165         69.6        1
3117.4   193.7       61.2        0
3118.1   236.1       78.4        0
3118.5   163         48.4        1
3119.1   346.3       43.7        0
3119.2   354.8       69.6        1
3120.1   200.899994  58.799999   0
3121.6   206.699997  76.199997   0
3122.8   204.800003  83.699997   0
3125.9   241.300003  56.799999   0
3128     156.5       71.9        1
3128.6   148.7       67.2        1
3129.8   186.5       67.900002   1
3129.9   195         74.699997   1
3130.3   196.300003  53.700001   0
3130.6   205.399994  55.299999   0
3131.6   341.100006  9.6         0
3132.9   172.199997  65.699997   1
3133.6   165         71.4        1
3136.6   172.2       72.8        1
3140.4   236.699997  77.300003   0
3142.6   133         72.4        1
3142.8   163         76.8        1
3143.8   88.699997   30.799999   0
